X,CH1,CH2,
Second,Volt,Volt,
-3.42000e-05,5.44e+00,-8.80e+00,
-3.40000e-05,5.52e+00,-8.80e+00,
-3.38000e-05,5.44e+00,-9.00e+00,
-3.36000e-05,5.44e+00,-8.80e+00,
-3.34000e-05,5.52e+00,-9.00e+00,
-3.32000e-05,5.44e+00,-8.80e+00,
-3.30000e-05,5.52e+00,-9.00e+00,
-3.28000e-05,5.52e+00,-8.80e+00,
-3.26000e-05,5.44e+00,-9.00e+00,
-3.24000e-05,5.44e+00,-8.80e+00,
-3.22000e-05,5.52e+00,-9.00e+00,
-3.20000e-05,5.52e+00,-8.80e+00,
-3.18000e-05,5.44e+00,-9.00e+00,
-3.16000e-05,5.44e+00,-9.00e+00,
-3.14000e-05,5.52e+00,-8.80e+00,
-3.12000e-05,5.44e+00,-8.80e+00,
-3.10000e-05,5.52e+00,-9.00e+00,
-3.08000e-05,5.52e+00,-8.80e+00,
-3.06000e-05,5.44e+00,-9.00e+00,
-3.04000e-05,5.44e+00,-8.80e+00,
-3.02000e-05,5.52e+00,-9.00e+00,
-3.00000e-05,5.52e+00,-9.00e+00,
-2.98000e-05,5.44e+00,-8.80e+00,
-2.96000e-05,5.44e+00,-9.00e+00,
-2.94000e-05,-7.99e-02,2.40e+00,
-2.92000e-05,0.00e+00,4.40e+00,
-2.90000e-05,7.99e-02,8.60e+00,
-2.88000e-05,0.00e+00,8.60e+00,
-2.86000e-05,7.99e-02,8.80e+00,
-2.84000e-05,7.99e-02,8.80e+00,
-2.82000e-05,0.00e+00,8.60e+00,
-2.80000e-05,7.99e-02,8.60e+00,
-2.78000e-05,7.99e-02,8.80e+00,
-2.76000e-05,7.99e-02,8.60e+00,
-2.74000e-05,7.99e-02,8.80e+00,
-2.72000e-05,7.99e-02,8.60e+00,
-2.70000e-05,7.99e-02,8.80e+00,
-2.68000e-05,7.99e-02,8.60e+00,
-2.66000e-05,1.60e-01,8.60e+00,
-2.64000e-05,7.99e-02,8.60e+00,
-2.62000e-05,1.60e-01,8.40e+00,
-2.60000e-05,7.99e-02,8.60e+00,
-2.58000e-05,1.60e-01,8.40e+00,
-2.56000e-05,1.60e-01,8.60e+00,
-2.54000e-05,7.99e-02,8.40e+00,
-2.52000e-05,1.60e-01,8.60e+00,
-2.50000e-05,7.99e-02,8.40e+00,
-2.48000e-05,1.60e-01,8.60e+00,
-2.46000e-05,7.99e-02,8.40e+00,
-2.44000e-05,1.60e-01,8.60e+00,
-2.42000e-05,7.99e-02,8.40e+00,
-2.40000e-05,7.99e-02,8.40e+00,
-2.38000e-05,1.60e-01,8.60e+00,
-2.36000e-05,1.60e-01,8.40e+00,
-2.34000e-05,1.60e-01,8.60e+00,
-2.32000e-05,1.60e-01,8.60e+00,
-2.30000e-05,1.60e-01,8.40e+00,
-2.28000e-05,1.60e-01,8.60e+00,
-2.26000e-05,7.99e-02,8.40e+00,
-2.24000e-05,1.60e-01,8.60e+00,
-2.22000e-05,7.99e-02,8.40e+00,
-2.20000e-05,1.60e-01,8.40e+00,
-2.18000e-05,7.99e-02,8.60e+00,
-2.16000e-05,1.60e-01,8.40e+00,
-2.14000e-05,1.60e-01,8.60e+00,
-2.12000e-05,1.60e-01,8.40e+00,
-2.10000e-05,1.60e-01,8.60e+00,
-2.08000e-05,1.60e-01,8.40e+00,
-2.06000e-05,1.60e-01,8.60e+00,
-2.04000e-05,1.60e-01,8.40e+00,
-2.02000e-05,1.60e-01,8.60e+00,
-2.00000e-05,1.60e-01,8.60e+00,
-1.98000e-05,5.84e+00,8.40e+00,
-1.96000e-05,5.52e+00,8.60e+00,
-1.94000e-05,5.60e+00,7.80e+00,
-1.92000e-05,5.52e+00,5.60e+00,
-1.90000e-05,5.60e+00,-6.00e+00,
-1.88000e-05,5.52e+00,-6.80e+00,
-1.86000e-05,5.60e+00,-8.60e+00,
-1.84000e-05,5.52e+00,-8.80e+00,
-1.82000e-05,5.52e+00,-9.20e+00,
-1.80000e-05,5.52e+00,-9.00e+00,
-1.78000e-05,5.52e+00,-9.20e+00,
-1.76000e-05,5.52e+00,-9.00e+00,
-1.74000e-05,5.52e+00,-8.80e+00,
-1.72000e-05,5.52e+00,-8.80e+00,
-1.70000e-05,5.52e+00,-9.20e+00,
-1.68000e-05,5.52e+00,-8.80e+00,
-1.66000e-05,5.44e+00,-9.20e+00,
-1.64000e-05,5.52e+00,-9.00e+00,
-1.62000e-05,5.44e+00,-8.80e+00,
-1.60000e-05,5.52e+00,-8.80e+00,
-1.58000e-05,5.44e+00,-9.00e+00,
-1.56000e-05,5.44e+00,-8.80e+00,
-1.54000e-05,5.52e+00,-9.00e+00,
-1.52000e-05,5.52e+00,-9.00e+00,
-1.50000e-05,5.44e+00,-8.80e+00,
-1.48000e-05,5.52e+00,-8.80e+00,
-1.46000e-05,5.44e+00,-9.00e+00,
-1.44000e-05,5.52e+00,-8.80e+00,
-1.42000e-05,5.44e+00,-9.00e+00,
-1.40000e-05,5.44e+00,-8.80e+00,
-1.38000e-05,5.52e+00,-9.00e+00,
-1.36000e-05,5.44e+00,-8.80e+00,
-1.34000e-05,5.52e+00,-9.00e+00,
-1.32000e-05,5.44e+00,-8.80e+00,
-1.30000e-05,5.52e+00,-9.00e+00,
-1.28000e-05,5.52e+00,-8.80e+00,
-1.26000e-05,5.44e+00,-9.00e+00,
-1.24000e-05,5.44e+00,-9.00e+00,
-1.22000e-05,5.52e+00,-8.80e+00,
-1.20000e-05,5.44e+00,-8.80e+00,
-1.18000e-05,5.52e+00,-9.00e+00,
-1.16000e-05,5.44e+00,-8.80e+00,
-1.14000e-05,5.52e+00,-9.00e+00,
-1.12000e-05,5.44e+00,-8.80e+00,
