11,-1.383,4.062,10.484,-1.336,3.583,9.03,-0.025,0.413,1.285,-13.4,-64.6,36.4,-21.8,-44,7.1,154.7,-21.5,9.6
20,-1.383,4.062,10.484,-1.336,3.583,9.03,-0.025,0.413,1.285,-4.1,-47.6,39.8,-21.8,-44,7.1,154.7,-21.5,9.6
31,-0.405,3.779,10.156,-1.112,3.591,9.057,0.713,0.127,0.936,-4.1,-47.6,39.8,-21.3,-44.3,6.2,155.8,-21.4,8.4
41,-0.405,3.779,10.156,-1.112,3.591,9.057,0.713,0.127,0.936,6.6,-27.9,34.8,-21.3,-44.3,6.2,155.8,-21.4,8.4
52,0.401,3.509,10.434,-0.986,3.67,9.04,1.38,-0.217,1.226,6.6,-27.9,34.8,-20.8,-44.3,5.6,155.8,-21.4,8.4
61,0.872,3.336,10.268,-0.895,3.666,9.051,1.752,-0.384,1.051,17.1,-12.9,25.3,-20.7,-44.5,5.3,155.8,-21.4,8.4
71,0.872,3.336,10.268,-0.895,3.666,9.051,1.752,-0.384,1.051,25.5,-8,17.6,-20.7,-44.5,5.3,155.8,-21.4,8.4
81,-0.033,3.73,9.66,-0.842,3.734,9.029,0.809,-0.064,0.476,25.5,-8,17.6,-20.6,-44.5,5.2,154.8,-22,5.6
91,-0.033,3.73,9.66,-0.842,3.734,9.029,0.809,-0.064,0.476,28.3,-4.3,14.6,-20.6,-44.5,5.2,154.8,-22,5.6
100,-0.062,3.832,8.096,-0.696,3.782,9.021,0.634,-0.012,-1.055,28.3,9,14.1,-20.9,-44.5,5.2,154.8,-22,5.6
111,-0.062,3.832,8.096,-0.696,3.782,9.021,0.634,-0.012,-1.055,28.3,9,14.1,-20.9,-44.5,5.2,154.8,-22,5.6
121,0.248,3.845,7.385,-0.624,3.837,9.003,0.868,-0.054,-1.736,14.9,9,14.1,-21.1,-44.6,5,155,-22.7,4.4
131,0.248,3.845,7.385,-0.624,3.837,9.003,0.868,-0.054,-1.736,-0.8,17.6,11.8,-21.1,-44.6,5,155,-22.7,4.4
141,0.054,3.44,9.051,-0.64,3.813,9.012,0.693,-0.429,-0.106,-11.6,20.8,5,-21.1,-44.3,5,155,-22.7,4.4
151,0.054,3.44,9.051,-0.623,3.853,8.997,0.676,-0.468,-0.091,-11.6,20.8,5,-21.1,-44.3,5,155,-22.7,4.4
