7,0.569,4.491,8.653,-0.221,4.605,8.656,0.782,-0.186,-0.141,4.9,-23.4,8.7,-34.5,-26.6,-8.3,120.4,-27.8,2
17,0.569,4.491,8.653,-0.178,4.611,8.653,0.738,-0.192,-0.139,-4.3,-22.3,3.4,-34.5,-26.6,-8.3,120.4,-27.8,2
27,0.569,4.491,8.653,-0.178,4.611,8.653,0.738,-0.192,-0.139,-4.3,-22.3,3.4,-34.5,-26.6,-8.3,120.4,-27.8,2
37,0.795,4.266,8.783,-0.12,4.621,8.649,0.902,-0.423,-0.006,-4.3,-22.3,3.4,-34.6,-26.2,-7.9,120.4,-27.8,2
47,0.795,4.266,8.783,-0.12,4.621,8.649,0.902,-0.423,-0.006,-9.6,-26.9,-1.6,-34.6,-26.2,-7.9,120.4,-27.8,2
57,0.834,4.097,9.224,-0.028,4.606,8.658,0.848,-0.574,0.418,-12.5,-28.6,-6.1,-34.7,-25.8,-7.6,118.8,-28,0.2
67,0.834,4.097,9.224,-0.028,4.606,8.658,0.848,-0.574,0.418,-12.5,-28.6,-6.1,-34.7,-25.8,-7.6,118.8,-28,0.2
77,0.75,4.034,8.498,0.064,4.562,8.681,0.674,-0.592,-0.32,-13,-28.3,-12.6,-34.8,-25.6,-7.6,118.8,-28,0.2
88,0.75,4.034,8.498,0.064,4.562,8.681,0.674,-0.592,-0.32,-12.7,-14.6,-14.8,-34.8,-25.6,-7.6,118.8,-28,0.2
97,0.444,4.309,8.365,0.132,4.5,8.712,0.305,-0.26,-0.482,-12.7,-14.6,-14.8,-35.2,-25.5,-7.1,119.3,-27.7,-0.4
107,0.299,4.483,8.577,0.172,4.439,8.743,0.122,-0.029,-0.304,-13.2,0.2,-12.8,-35.3,-25.3,-7,119.3,-27.7,-0.4
117,0.299,4.483,8.577,0.172,4.439,8.743,0.122,-0.029,-0.304,-14.6,-0.3,-10,-35.3,-25.3,-7,119.3,-27.7,-0.4
127,0.358,4.443,8.806,0.172,4.439,8.743,0.122,-0.029,-0.107,-14.6,-0.3,-10,-35.4,-25.3,-6.7,118.4,-26.9,-1.1
137,0.358,4.443,8.806,0.174,4.382,8.771,0.177,-0.01,-0.107,-14.6,-0.3,-10,-35.4,-25.3,-6.7,118.4,-26.9,-1.1
147,0.358,4.443,8.806,0.174,4.382,8.771,0.177,-0.01,-0.107,-18.2,-5.9,-9.7,-35.4,-25.3,-6.7,118.4,-26.9,-1.1
157,0.782,4.163,8.849,0.186,4.332,8.796,0.584,-0.235,-0.089,-20.3,-11.7,-12.5,-35.8,-25.1,-6.7,118.4,-26.9,-1.1
168,0.811,4.081,9.173,0.2,4.302,8.81,0.598,-0.287,0.216,-20.3,-11.7,-12.5,-35.4,-25,-6.8,118.4,-26.9,-1.1
176,0.811,4.081,9.173,0.206,4.263,8.829,0.027,0.057,0.61,-16.7,-11.8,-14.6,-35.6,-25.1,-6.7,118,-26,-1.3
187,0.237,4.391,9.593,0.206,4.263,8.829,0.027,0.057,0.61,-16.7,-11.8,-14.6,-35.6,-25.1,-6.7,118,-26,-1.3
197,0.026,4.419,9.433,0.208,4.249,8.836,-0.182,0.099,0.445,-10.2,-5.5,-14.8,-35.6,-25.1,-6.7,118,-26,-1.3
207,0.026,4.419,9.433,0.208,4.249,8.836,-0.182,0.099,0.445,-8.2,0.2,-11.1,-35.6,-25.1,-6.7,118,-26,-1.3
218,0.118,4.806,9.799,0.229,4.192,8.863,-0.112,0.537,0.779,-8.2,0.2,-11.1,-35.5,-25.4,-6.5,118,-26,-1.3
227,0.118,4.806,9.799,0.229,4.192,8.863,-0.112,0.537,0.779,-10.9,-1.7,-8.5,-35.5,-25.4,-6.5,118,-26,-1.3
237,0.458,4.65,9.782,0.228,4.152,8.881,0.222,0.423,0.744,-10.9,-1.7,-8.5,-35.5,-25.5,-6.4,120.5,-25.3,-1.5
247,0.458,4.65,9.782,0.228,4.152,8.881,0.222,0.423,0.744,-12.2,-5.9,-9.8,-35.5,-25.5,-6.4,120.5,-25.3,-1.5
257,0.342,4.425,9.782,0.223,4.112,8.9,0.114,0.242,0.725,-9.1,-1.7,-10.7,-35.1,-25.7,-6.4,120.5,-25.3,-1.5
267,0.342,4.425,9.782,0.223,4.112,8.9,0.114,0.242,0.725,-9.1,-1.7,-10.7,-35.1,-25.7,-6.4,120.5,-25.3,-1.5
277,0.472,4.219,9.381,0.223,4.104,8.904,0.242,0.047,0.327,-4.2,2.7,-14.2,-34.9,-25.9,-6.5,120.7,-24.8,-1.4
287,0.472,4.219,9.381,0.223,4.104,8.904,0.243,0.048,0.327,-4.2,2.7,-14.2,-34.9,-25.9,-6.5,120.7,-24.8,-1.4
297,0.069,4.332,9.464,0.221,4.09,8.911,0.243,0.048,0.327,1.2,5.4,-15,-34.7,-26.1,-6.4,120.7,-24.8,-1.4
307,0.069,4.332,9.464,0.204,4.088,8.911,-0.136,0.174,0.401,1.2,5.4,-15,-34.3,-26.5,-6.4,120.7,-24.8,-1.4
317,0.069,4.332,9.464,0.204,4.088,8.911,-0.136,0.174,0.401,2.8,8.7,-11.5,-34.3,-26.5,-6.4,120.7,-24.8,-1.4
327,-0.044,4.562,10.011,0.195,4.083,8.914,-0.238,0.406,0.935,2.8,8.7,-11.5,-34.2,-26.8,-6.2,122.7,-24.6,-1.3
337,-0.044,4.562,10.011,0.195,4.083,8.914,-0.238,0.406,0.935,3.9,0.8,-9.2,-34.2,-26.8,-6.2,122.7,-24.6,-1.3
347,0.01,4.248,10.087,0.213,4.097,8.907,-0.204,0.083,1.018,8.2,-7.9,-8.3,-33.9,-27,-6.6,122.7,-24.6,-1.3
