6,0.231,3.651,11.424,0.882,3.998,8.911,-0.655,-0.406,2.33,-28.5,20.7,45.4,-20.2,-39.2,1.7,152.4,-24.9,-4.4
17,-0.72,3.6,11.662,0.896,3.916,8.946,-1.604,-0.374,2.529,-26.8,27.8,46.1,-20.8,-38.5,1.7,148.7,-24.1,-5.7
27,-0.72,3.6,11.662,0.896,3.916,8.946,-1.604,-0.374,2.529,-26.8,27.8,46.1,-20.8,-38.5,1.7,148.7,-24.1,-5.7
36,-1.427,4.248,10.876,0.896,3.916,8.946,-2.263,0.323,1.726,-13.9,33.2,46.5,-21.4,-38.3,1.5,148.7,-24.1,-5.7
46,-1.427,4.248,10.876,0.859,3.857,8.975,-2.263,0.323,1.726,3.9,27.2,42.3,-21.4,-38.3,1.5,148.7,-24.1,-5.7
56,-1.782,5.5,7.867,0.779,3.797,9.008,-2.533,1.615,-1.267,18.1,12.5,36.7,-22,-38.2,1.2,147.5,-23.2,-5.5
66,-1.782,5.5,7.867,0.779,3.797,9.008,-2.533,1.615,-1.267,18.1,12.5,36.7,-22,-38.2,1.2,147.5,-23.2,-5.5
76,-1.29,5.998,7.034,0.685,3.799,9.015,-1.955,2.102,-2.094,22.3,-1.6,30.4,-22.6,-37.8,0.9,147.5,-23.2,-5.5
86,-1.29,5.998,7.034,0.685,3.799,9.015,-1.955,2.102,-2.094,22.3,-1.6,30.4,-22.6,-37.8,0.9,147.5,-23.2,-5.5
97,-0.97,6.301,6.921,0.622,3.865,8.991,-1.577,2.334,-2.181,13.4,-17.6,22.9,-22.9,-37.4,0.7,145.7,-23.2,-4
105,-0.97,6.301,6.921,0.622,3.865,8.991,-1.577,2.334,-2.181,-4.7,-29.7,16.8,-22.9,-37.4,0.7,145.7,-23.2,-4
116,-0.982,6.443,7.719,0.64,3.971,8.944,-1.606,2.368,-1.349,-4.7,-29.7,16.8,-23.8,-37.5,1,145.7,-23.2,-4
126,-0.982,6.443,7.719,0.64,3.971,8.944,-1.606,2.368,-1.349,-4.7,-29.7,16.8,-23.8,-37.5,1,145.7,-23.2,-4
136,-1.141,6.464,8.843,0.713,4.014,8.919,-1.836,2.346,-0.218,-23.2,-28.6,15,-23.9,-37.2,0.5,144,-24.2,-4.6
146,-1.141,6.464,8.843,0.713,4.014,8.919,-1.836,2.346,-0.218,-32.6,-16.3,12.3,-23.9,-37.2,0.5,144,-24.2,-4.6
