11,-1.74,5.874,9.524,-0.756,4.822,8.506,-0.956,0.957,0.865,-18.8,-37.8,21.1,-20.7,20,-33.1,37.1,-29.6,6.3
21,-0.641,5.488,9.588,-0.739,4.827,8.504,0.108,0.573,0.93,-3.1,-19.7,32.7,-20.8,20,-32.9,37.1,-29.6,6.3
31,-0.209,5.15,9.761,-0.673,4.884,8.477,0.467,0.183,1.127,9.7,-1,34.3,-20.7,20,-32.7,36,-29.5,5
41,-0.209,5.15,9.761,-0.673,4.884,8.477,0.467,0.183,1.127,9.7,-1,34.3,-20.7,20,-32.7,36,-29.5,5
51,-0.177,4.989,9.847,-0.632,4.921,8.459,0.458,-0.013,1.23,19.9,5.7,28.7,-20.6,20.1,-32.9,36,-29.5,5
61,-0.177,4.989,9.847,-0.632,4.921,8.459,0.458,-0.013,1.23,24.2,6.7,26.6,-20.6,20.1,-32.9,36,-29.5,5
70,-0.877,5.23,8.913,-0.601,4.977,8.429,-0.262,0.169,0.341,24.2,6.7,26.6,-20.8,20.4,-32.9,35.3,-30.1,4.3
81,-0.877,5.23,8.913,-0.601,4.977,8.429,-0.262,0.169,0.341,21.1,14.1,25.3,-20.8,20.4,-32.9,35.3,-30.1,4.3
91,-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,21.1,14.1,25.3,-20.8,20.4,-33.3,35.3,-30.1,4.3
101,-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,18.3,12.4,26.5,-20.8,20.4,-33.3,35.3,-30.1,4.3
111,-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,18.3,12.4,26.5,-20.8,20.4,-33.3,35.3,-30.1,4.3
121,0.405,4.392,8.256,-0.562,5.08,8.37,0.961,-0.759,-0.246,12.5,-0.8,23,-20.6,20.5,-33.3,34.9,-30.8,4
132,0.405,4.392,8.256,-0.562,5.08,8.37,0.961,-0.759,-0.246,3.6,-8.7,14.7,-20.6,20.5,-33.3,34.9,-30.8,4
141,0.824,4.593,8.396,-0.54,5.117,8.348,1.351,-0.599,-0.087,3.6,-8.7,14.7,-20.6,21,-33.4,34.9,-30.8,4
151,0.849,4.312,8.677,-0.5,5.117,8.351,1.335,-0.875,0.187,-1.8,-12,7.8,-20.6,21.2,-33.2,33.9,-31.5,3.7
161,0.849,4.312,8.677,-0.5,5.117,8.351,1.335,-0.875,0.187,-1.8,-12,7.8,-20.6,21.2,-33.2,33.9,-31.5,3.7
171,0.849,4.312,8.677,-0.487,5.119,8.35,1.266,-1.102,0.726,-3,-12.3,-1.3,-20.6,21.2,-33.2,33.9,-31.5,3.7
181,0.792,4.083,9.225,-0.487,5.119,8.35,1.266,-1.102,0.726,-1.3,-15.5,-7.3,-20.6,21.2,-33.5,33.9,-31.5,3.7
191,0.792,4.083,9.225,-0.458,5.08,8.376,0.67,-0.837,0.687,-1.3,-15.5,-7.3,-20.6,21.2,-33.5,33.9,-31.5,3.7
200,-0.297,4.953,8.831,-0.458,5.08,8.376,0.67,-0.837,0.687,-1.5,-12,-6,-20.4,21.3,-33.5,32,-31.2,3.1
211,-0.297,4.953,8.831,-0.42,5.034,8.406,0.129,-0.161,0.284,-1.5,-12,-6,-20.4,21.3,-33.5,32,-31.2,3.1
